Pays,Tirs_reçus,Buts_alloues,Ronde
Afrique du Sud,22,3,Carré d'as
Algerie,9,4,Phase de groupes
Angola,16,4,Quart de finales
Burkina Faso,18,6,Huitièmes de finales
Cameroun,16,8,Huitièmes de finales
Cap-Vert,16,3,Quart de finales
Côte d'Ivoire,18,8,Carré d'as
Congo,14,5,Carré d'as
Égypte,9,7,Huitièmes de finales
Gambie,14,7,Phase de groupes
Ghana,13,6,Phase de groupes
Guinée,6,6,Quart de finales
Guinée-Bissau,12,7,Phase de groupes
Guinée Équatoriale,17,4,Huitièmes de finales
Mali,13.9,4,Quart de finales
Maroc,7,3,Huitièmes de finales
Mauritanie,18,5,Huitièmes de finales
Mozambique,11,7,Phase de groupes
Namibie,17,7,Huitièmes de finales
Nigeria,22,4,Carré d'as
Sénégal,6.9,2,Huitièmes de finales
Tanzanie,14.1,4,Phase de groupes
Tunisie,7.1,2,Phase de groupes
Zambie,14,3,Phase de groupes